corpus_id,title,source_url,fetch_mode,output_filename,status,notes,start_marker,end_marker
old_french,La Chanson de Roland,https://fr.wikisource.org/wiki/La_Chanson_de_Roland,wikisource_page,chanson_de_roland.txt,ready,"Public-domain Wikisource transcription",,
old_french,Aucassin et Nicolette,https://fr.wikisource.org/wiki/Aucassin_et_Nicolette_%28Mario_Roques%29/Aucassin_et_Nicolette,wikisource_page,aucassin_et_nicolette.txt,ready,"Old French text established by Mario Roques",Qui vauroit bons vers oïr,
old_french,Vie de saint Léger,https://fr.wikisource.org/wiki/Vie_de_saint_L%C3%A9ger,wikisource_page,vie_de_saint_leger.txt,ready,"Early Old French saint's life",Domine deu devemps lauder,
old_french,Raoul de Cambrai,https://fr.wikisource.org/wiki/Raoul_de_Cambrai/Raoul_de_Cambrai,wikisource_page,raoul_de_cambrai.txt,ready,"Chanson de geste text page",O iez chançon de joie et de baudor,
old_french,Le Miracle de Théophile,"https://fr.wikisource.org/wiki/Rutebeuf_-_%C5%92uvres_compl%C3%A8tes,_1839/Ci_commence_Le_Miracle_de_Th%C3%A9ophile",wikisource_page,miracle_de_theophile.txt,ready,"Rutebeuf text page",Ahi ! ahi ! Diex,
middle_french,Le Lais,https://fr.wikisource.org/wiki/Le_Lais,wikisource_page,le_lais.txt,ready,"François Villon",,
middle_french,Le Grand Testament,https://fr.wikisource.org/wiki/Le_Grand_Testament,wikisource_page,le_grand_testament.txt,ready,"François Villon",CY COMMENCE,
langue_d_oil,Le Jeu de saint Nicolas,https://fr.wikisource.org/wiki/Le_Jeu_de_saint_Nicolas/Li_jus_de_saint_Nicholai,wikisource_page,le_jeu_de_saint_nicolas.txt,ready,"Picard / Arras witness",,
langue_d_oil,De la mort de Nostre Dame,https://fr.wikisource.org/wiki/De_la_mort_de_Nostre_Dame_%28ms._3516_de_la_Biblioth%C3%A8que_de_l%E2%80%99Arsenal%29,wikisource_page,de_la_mort_de_nostre_dame.txt,ready,"Attested d'oïl verse text on Wikisource",Or orrés de la mort Nostre Dame,Explicit de la mort Marie la mere Jhesu Crist
langue_d_oil,Le Couronnement de Louis,https://fr.wikisource.org/wiki/Le_Couronnement_de_Louis_%28Langlois%29/Texte_critique,wikisource_page,le_couronnement_de_louis.txt,ready,"Oïl chanson de geste text page",LI CORONEMENZ LOOÏS,
langue_d_oil,Vie de saint George,https://fr.wikisource.org/wiki/Vie_de_saint_George,wikisource_page,vie_de_saint_george.txt,ready,"Wace / Norman d'oïl text",INCIPIT,
old_spanish,Poema del Cid,https://es.wikisource.org/wiki/Colecci%C3%B3n_de_poes%C3%ADas_castellanas_anteriores_al_siglo_XV/Tomo_I/Poema_del_Cid,wikisource_page,poema_del_cid.txt,ready,"Old Spanish attested epic text page",Sospiró mio Cid,
old_spanish,Auto de los Reyes Magos,https://es.wikisource.org/wiki/Auto_de_los_Reyes_Magos,wikisource_page,auto_de_los_reyes_magos.txt,ready,"Early Castilian dramatic text",¡Dios criador,
old_spanish,Cántica (Berceo),https://es.wikisource.org/wiki/C%C3%A1ntica_%28Berceo%29,wikisource_page,cantica_berceo.txt,ready,"Gonzalo de Berceo text",Eya velar,
old_occitan,La Chanson de la croisade contre les albigeois/Chanson,https://fr.wikisource.org/wiki/La_Chanson_de_la_croisade_contre_les_albigeois/Chanson,wikisource_page,chanson_croisade_chanson.txt,ready,"Occitan chanson text page",CHANSON,
anglo_norman,Lais de Marie de France/Prolog,https://fr.wikisource.org/wiki/Lais_de_Marie_de_France/Prolog,wikisource_page,marie_de_france_prolog.txt,ready,"Anglo-Norman prologue attributed to Marie de France",,
anglo_norman,Lais de Marie de France/Guigemar,https://fr.wikisource.org/wiki/Lais_de_Marie_de_France/Guigemar,wikisource_page,guigemar.txt,ready,"Anglo-Norman lai attributed to Marie de France",,
anglo_norman,Lais de Marie de France/Bisclavret,https://fr.wikisource.org/wiki/Lais_de_Marie_de_France/Bisclavret,wikisource_page,bisclavret.txt,ready,"Anglo-Norman lai attributed to Marie de France",,
